"userid","cpc","organic","affiliate","social","signup_date"
"e0912256-b48a-45c0-afec-23350d341abd",1,0,0,1,2017-02-01
"321c18f1-c58e-488d-a60a-462dfc9d38aa",1,0,1,0,2017-01-10
"3d03c163-d14b-49da-873a-a54cc3b400e3",0,0,1,1,2017-03-24
"3acb5a84-4375-405b-9a8b-bfb8979ab9bc",1,0,0,0,2017-03-06
"1b488764-6874-4483-8e70-815feb07b154",1,0,0,0,2017-03-03
"8c873765-8633-4161-81f1-ce41d710a643",0,0,1,0,2017-03-14
"d3c2dcd5-00f0-48eb-8937-7262328b2cfd",1,0,0,1,2017-03-26
"8746e1cd-573c-4beb-8343-4fa42ee75a78",0,1,0,1,2017-01-01
"4a160c04-e636-475d-aa6f-e5cd6de2d61c",0,0,1,0,2017-03-09
"657760a9-fec5-4ec7-9d78-ce235ee5e934",0,0,1,1,2017-02-10
"a55f7752-8826-443d-9730-caa19cb8b3cd",1,0,0,1,2017-02-18
"c7a61464-bc79-42b1-b612-ead42b5b3624",0,0,1,1,2017-01-16
"a23627d5-fad5-48d8-bc19-0b93360f7dad",1,0,0,1,2017-01-05
"9b03f0b8-0e31-40ae-90d2-ab619c1219f2",0,0,1,0,2017-03-15
"11ed8a1d-a9c8-4e78-8c60-0d61cc7c2148",0,0,1,1,2017-03-27
"ed9854fe-b57b-4961-91df-3e8db660440f",0,0,1,1,2017-03-16
"e8fbed99-8729-480e-a0c1-a3b2cfabc10f",0,0,1,1,2017-01-28
"c2ea3691-4949-45f9-9b1f-855e1812821d",0,1,1,0,2017-02-02
"84eb143d-8633-4e74-a02e-ba62d77382ae",0,0,1,1,2017-04-01
"e8c36969-ee5d-4e9a-ac18-3e170f32d03f",0,0,1,0,2017-01-16
"1e8a533a-3efb-4115-90fa-0d06e27c44de",0,0,1,1,2017-03-25
"a4a88f32-df5b-4e24-aa27-f3a3782554dd",0,0,1,1,2017-03-12
"77afcbdf-99d2-4292-8af5-470eeeea4f26",0,0,1,1,2017-02-13
"09c27a30-21d3-41a1-bce5-00ae482dff97",0,0,1,1,2017-01-10
"8f5d2bbc-5ce0-4be5-8819-46489f565698",1,0,1,0,2017-03-15
"d583dc3d-cc65-4130-a8d5-93e8e19f923c",1,0,1,0,2017-02-23
"6ca464bd-3a3a-4e04-8182-9103b8b89bc5",1,0,0,1,2017-02-27
"9031dbb7-57ac-4054-bc55-7f5dabf64e94",0,0,1,0,2017-03-06
"fd2cecff-b63e-41a2-9bd4-7c811aa34d5b",1,0,1,0,2017-02-26
"c2194d07-3ba9-4a92-b096-9035cdbc3041",1,0,0,0,2017-03-04
"c7f99706-3fd0-439c-8892-ab344f5de607",0,0,1,1,2017-01-03
"09e68992-0716-4d6a-a328-d3cca591d06d",0,0,1,1,2017-03-07
"e921472c-b4c3-489e-bd3b-2b9a37eaa843",0,0,1,1,2017-03-11
"2ece29f5-84e0-42a2-8c49-9062842dbde0",0,0,1,1,2017-02-16
"83080f82-406e-4767-9ba9-1f6dbbbcffa6",0,0,1,0,2017-02-04
"b5cdeb16-78a4-4623-a1c9-b75b39ce2d5b",0,0,1,1,2017-03-29
"bdae608e-80c0-44e1-87d6-8e5e4f459583",1,0,1,0,2017-03-13
"bad61a26-01fd-4f8a-9e4d-838c2a939fec",0,0,1,1,2017-02-23
"757aaafa-8886-4450-aa3b-1619cfefcc85",1,0,0,0,2017-01-19
"58297dd9-90b3-4a52-a902-31461f200efa",1,0,0,0,2017-01-02
"99f3b605-9571-4b43-bf3a-f98e0044f45a",0,0,1,1,2017-01-18
"7d18c85d-42b8-4dc9-bafb-39147f168d93",0,1,0,1,2017-01-11
"01bdc64b-8f42-454f-a4ad-54d10096fc09",0,0,1,1,2017-01-16
"ec3c1d3c-1128-4bf0-aab2-70e180414952",1,0,0,0,2017-01-28
"d37a0fd1-7b83-4c29-b007-f05564f69099",1,0,1,1,2017-01-08
"b773022c-b03e-47bb-921f-bb4cb2dd65f7",0,0,1,1,2017-02-27
"f4371a4a-9223-4b18-9aa9-d8fe90bd9691",1,0,0,1,2017-01-29
"70335877-fca8-4ee9-a0c6-f2f824b1f2c3",1,0,1,0,2017-02-20
"32ece675-2969-4db6-b24e-8c76ba37e13a",0,0,1,0,2017-01-12
"3efebac7-c040-456a-b2d8-e37cbd64b4e7",0,0,1,0,2017-01-10
"17c89ee2-10c4-4b7a-8dd4-d9cbde2bccf5",1,0,0,1,2017-02-25
"b7a73ef9-ba02-4b86-b72b-8bbcac9bd5c9",0,0,1,1,2017-03-30
"efe56dea-32f5-488a-b909-2d8bcd2b8b85",1,0,1,0,2017-03-11
"a40572d6-25bc-4a8f-ab30-e7fc04bc15be",0,0,1,1,2017-02-11
"d5c4f4ce-f0a2-4d6d-bcaa-45ced3625555",0,0,1,1,2017-03-03
"c500c60f-dfd8-4408-b53a-5d2de17133b7",1,0,1,0,2017-02-08
"19d6596f-ffab-4943-9a7d-14a32797f39b",1,0,0,0,2017-02-24
"d230bbc4-9bc8-4f1f-87dc-c4ce109fb9ee",0,0,1,0,2017-03-02
"c38416cd-be65-460c-8ed2-137e127fab65",1,1,0,0,2017-02-17
"0ccc5fe6-d16e-4332-9ae5-20f829f949b8",0,0,1,1,2017-01-30
"19af6018-13ab-4df7-a4d1-dc008e399cf7",1,0,0,0,2017-03-24
"8ec04381-78e7-4c0f-8dd8-7e7e766c1043",0,0,1,0,2017-03-18
"842607cf-1d33-487b-9990-a59322be6dbc",0,0,1,1,2017-02-01
"ee05064b-530f-4536-83e9-b7e0d14cd497",0,0,1,1,2017-01-23
"6bb2cd55-34c0-46dd-9c53-e1327e1a8300",1,0,0,0,2017-01-08
"fc65053d-fa01-48d4-99bc-7bb1c1e8966f",0,0,1,1,2017-03-26
"e4668c52-28af-47f0-a8e6-36ef82d61cd2",1,0,1,0,2017-02-10
"59827a51-5d46-4c48-8232-fc55ba37afd6",0,0,1,1,2017-03-25
"8db0df06-6862-4abe-bd9f-5bb502568b5f",0,0,1,1,2017-02-25
"f87cecf9-f5f3-4e2f-b7e0-49c9509f2390",0,0,1,0,2017-03-06
"4a08f432-e5a3-4745-a5b9-c941d8bd3291",0,1,0,0,2017-02-20
"08366bf6-cde0-4fbb-a273-442b29717b8b",1,0,0,0,2017-01-19
"396543e0-807a-4d4c-9ca7-ef71d908fc04",0,0,1,0,2017-03-12
"0730afc4-2093-4fec-8a37-b11be141eaf6",1,0,1,0,2017-03-14
"7dc6995b-02ff-4977-8d7f-07917afe74da",1,0,0,1,2017-02-07
"5a345376-4641-4795-8a38-56793ca71a71",0,0,1,1,2017-03-05
"2ba7bc32-9a57-44df-aa21-55e4d5486882",1,1,0,0,2017-01-08
"59dc48f7-c2f7-4b36-92a5-3ef63ba1f7d6",0,0,1,1,2017-01-06
"0c8b27bd-90f1-4742-84bb-9a995797b628",0,0,1,1,2017-04-01
"63edceac-9521-4be5-83de-53f5149eadb9",1,0,1,0,2017-02-25
"c3a0b1d5-96dc-4532-be34-c92c99c0ab6d",1,0,1,1,2017-03-09
"56458d24-b9d1-4db8-920a-9b1ec466f9d5",0,0,1,0,2017-01-14
"1d3c2ea8-744f-4e90-9bb5-7839f0d68361",0,0,1,1,2017-01-08
"f6f46697-bc4a-42df-9307-2b94bfca2576",1,0,0,0,2017-02-06
"c4cb6bcb-f57d-41c0-b4e1-1ea6a6f9be98",0,0,1,1,2017-03-25
"23229f7a-12f0-40a1-8471-f3df6373c8c9",1,0,0,0,2017-03-16
"1757ed41-556d-4bc5-995c-4be87bee5393",0,0,1,1,2017-03-26
"f694507b-eddb-43ca-844f-3901050549fd",0,0,1,0,2017-02-06
